,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Shaquille O'Neal\onealsh01,20,ORL,96.0,96.0,98,0.980,81,37.9,23.4,13.9,1.9,0.7,3.5,.562,.000,.592,10.4,.163
2,Alonzo Mourning\mournal01,22,CHH,2.0,2.0,98,0.020,78,33.9,21.0,10.3,1.0,0.3,3.5,.511,.000,.781,8.2,.148
