,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Mitch Richmond\richmmi01,23,GSW,80.0,80.0,85,0.941,79,34.4,22.0,5.9,4.2,1.0,0.2,.468,.367,.810,5.6,.098
2,Willie Anderson\anderwi01,22,SAS,4.0,4.0,85,0.047,81,33.8,18.6,5.1,4.6,1.9,0.8,.498,.190,.775,4.9,.085
3,Chris Morris\morrich01,23,NJN,1.0,1.0,85,0.012,76,27.6,14.1,5.2,1.6,1.3,0.8,.457,.366,.717,2.8,.064
