,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Michael Jordan\jordami01,21,CHI,57.5,57.5,78,0.737,82,38.3,28.2,6.5,5.9,2.4,0.8,0.515,0.173,0.845,14,0.213
2,Hakeem Olajuwon\olajuha01,22,HOU,20.5,20.5,78,0.263,82,35.5,20.6,11.9,1.4,1.2,2.7,0.538,,0.613,10.2,0.168
