,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Chuck Person\persoch01,22,IND,68.0,68.0,78,0.872,82,36.0,18.8,8.3,3.6,1.1,0.2,.468,.355,.747,5.4,.088
2,Ron Harper\harpero01,23,CLE,10.0,10.0,78,0.128,82,37.4,22.9,4.8,4.8,2.5,1.0,.455,.213,.684,4.2,.066
