,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Allen Iverson\iversal01,21,PHI,44.0,44.0,115,0.383,76,40.1,23.5,4.1,7.5,2.1,0.3,.416,.341,.702,4.1,.065
2,Stephon Marbury\marbust01,19,MIN,35.0,35.0,115,0.304,67,34.7,15.8,2.7,7.8,1.0,0.3,.408,.354,.727,3.7,.077
3,Shareef Abdur-Rahim\abdursh01,20,VAN,25.0,25.0,115,0.217,80,35.0,18.7,6.9,2.2,1.0,1.0,.453,.259,.746,2.9,.049
4,Antoine Walker\walkean02,20,BOS,6.0,6.0,115,0.052,82,36.2,17.5,9.0,3.2,1.3,0.6,.425,.327,.631,1.7,.027
5,Kerry Kittles\kittlke01,22,NJN,5.0,5.0,115,0.043,82,36.7,16.4,3.9,3.0,1.9,0.4,.426,.377,.771,6.9,.110
