,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Vince Carter\cartevi01,22,TOR,113.0,113.0,118,0.958,50,35.2,18.3,5.7,3.0,1.1,1.5,.450,.288,.761,5.0,.136
2,Jason Williams\willija02,23,SAC,3.0,3.0,118,0.025,50,36.1,12.8,3.1,6.0,1.9,0.0,.374,.310,.752,2.1,.055
3,Paul Pierce\piercpa01,21,BOS,2.0,2.0,118,0.017,48,34.0,16.5,6.4,2.4,1.7,1.0,.439,.412,.713,4.9,.144
