,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Tim Duncan\duncati01,21,SAS,113.0,113.0,116,0.974,82,39.1,21.1,11.9,2.7,0.7,2.5,.549,.000,.662,12.8,.192
2,Keith Van Horn\vanhoke01,22,NJN,3.0,3.0,116,0.026,62,37.5,19.7,6.6,1.7,1.0,0.4,.426,.308,.846,4.8,.098
