,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Derrick Coleman\colemde01,23,NJN,69.0,69.0,96,0.719,74,35.2,18.4,10.3,2.2,1.0,1.3,.467,.342,.731,5.8,.108
2,Lionel Simmons\simmoli01,22,SAC,22.0,22.0,96,0.229,79,37.7,18.0,8.8,4.0,1.4,1.1,.422,.273,.736,2.7,.044
3,Dennis Scott\scottde01,22,ORL,3.0,3.0,96,0.031,82,28.5,15.7,2.9,1.6,0.8,0.3,.425,.374,.750,2.6,.054
4,Dee Brown\brownde01,22,BOS,2.0,2.0,96,0.021,82,23.7,8.7,2.2,4.2,1.0,0.2,.464,.206,.873,3.5,.087
