,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1T,Elton Brand\brandel01,20,CHI,58.0,58.0,121,0.479,81,37.0,20.1,10.0,1.9,0.8,1.6,.482,.000,.685,7.5,.121
1T,Steve Francis\francst01,22,HOU,58.0,58.0,121,0.479,77,36.1,18.0,5.3,6.6,1.5,0.4,.445,.345,.786,6.4,.111
3,Lamar Odom\odomla01,20,LAC,3.0,3.0,121,0.025,76,36.4,16.6,7.8,4.2,1.2,1.3,.438,.360,.719,3.2,.055
4,Andre Miller\millean02,23,CLE,2.0,2.0,121,0.017,82,25.5,11.1,3.4,5.8,1.0,0.2,.449,.204,.774,5.3,.122
