,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1T,Grant Hill\hillgr01,22,DET,43.0,43.0,105,0.410,70,38.3,19.9,6.4,5.0,1.8,0.9,.477,.148,.732,5.4,.097
1T,Jason Kidd\kiddja01,21,DAL,43.0,43.0,105,0.410,79,33.8,11.7,5.4,7.7,1.9,0.3,.385,.272,.698,3.7,.066
3,Glenn Robinson\robingl01,22,MIL,15.0,15.0,105,0.143,80,37.0,21.9,6.4,2.5,1.4,0.3,.451,.321,.796,3.2,.053
4,Eddie Jones\jonesed02,23,LAL,2.0,2.0,105,0.019,64,31.0,14.0,3.9,2.0,2.0,0.6,.460,.370,.722,5.0,.122
5T,Brian Grant\grantbr01,22,SAC,1.0,1.0,105,0.010,80,28.6,13.2,7.5,1.2,0.6,1.5,.511,.250,.636,5.3,.112
5T,Juwan Howard\howarju01,21,WSB,1.0,1.0,105,0.010,65,36.1,17.0,8.4,2.5,0.8,0.2,.489,.000,.664,2.8,.057
