,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Mark Jackson\jacksma01,22,NYK,77.0,77.0,80,0.963,82,39.6,13.6,4.8,10.6,2.5,0.1,.432,.254,.774,7.6,.113
2T,Greg Anderson\andergr01,23,SAS,1.0,1.0,80,0.013,82,24.2,11.7,6.3,1.0,0.7,1.5,.501,.200,.604,2.3,.056
2T,Winston Garland\garlawi01,23,GSW,1.0,1.0,80,0.013,67,31.7,12.4,3.4,6.4,1.7,0.1,.439,.333,.879,1.7,.039
2T,Kenny Smith\smithke01,22,SAC,1.0,1.0,80,0.013,61,35.6,13.8,2.3,7.1,1.5,0.1,.477,.308,.819,2.2,.049
