,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Patrick Ewing\ewingpa01,23,NYK,36.0,36.0,78,0.462,50,35.4,20.0,9.0,2.0,1.1,2.1,.474,.000,.739,3.1,.084
2,Xavier McDaniel\mcdanxa01,22,SEA,16.5,16.5,78,0.212,82,33.0,17.1,8.0,2.4,1.2,0.5,.490,.200,.687,5.1,.091
3,Karl Malone\malonka01,22,UTA,14.5,14.5,78,0.186,81,30.6,14.9,8.9,2.9,1.3,0.5,.496,.000,.481,1.9,.036
4,Spud Webb\webbsp01,22,ATL,4.0,4.0,78,0.051,79,15.6,7.8,1.6,4.3,1.0,0.1,.483,.182,.785,3.5,.137
5T,Manute Bol\bolma01,23,WSB,3.0,3.0,78,0.038,80,26.1,3.7,6.0,0.3,0.4,5.0,.460,.000,.488,3.9,.089
5T,Charles Oakley\oaklech01,22,CHI,3.0,3.0,78,0.038,77,23.0,9.6,8.6,1.7,0.9,0.4,.519,.000,.662,3.3,.090
7,Benoit Benjamin\benjabe01,21,LAC,1.0,1.0,78,0.013,79,26.4,11.1,7.6,1.0,0.8,2.6,.490,.333,.746,4.0,.093
