,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Damon Stoudamire\stoudda01,22,TOR,76.0,76.0,113,0.673,70,40.9,19.0,4.0,9.3,1.4,0.3,.426,.395,.797,4.3,.072
2,Arvydas Sabonis\sabonar01,31,POR,17.0,17.0,113,0.150,73,23.8,14.5,8.1,1.8,0.9,1.1,.545,.375,.757,8.4,.233
3,Joe Smith\smithjo02,20,GSW,15.0,15.0,113,0.133,82,34.4,15.3,8.7,1.0,1.0,1.6,.458,.357,.773,6.8,.116
4T,Michael Finley\finlemi01,22,PHO,2.0,2.0,113,0.018,82,39.2,15.0,4.6,3.5,1.0,0.4,.476,.328,.749,6.3,.095
4T,Jerry Stackhouse\stackje01,21,PHI,2.0,2.0,113,0.018,72,37.5,19.2,3.7,3.9,1.1,1.1,.414,.318,.747,1.2,.021
6,Kevin Garnett\garneke01,19,MIN,1.0,1.0,113,0.009,80,28.7,10.4,6.3,1.8,1.1,1.6,.491,.286,.705,4.4,.092
