,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Larry Johnson\johnsla02,22,CHH,90.5,90.5,96,0.943,82,37.2,19.2,11.0,3.6,1.0,0.6,.490,.227,.829,8.9,.140
2,Dikembe Mutombo\mutomdi01,25,DEN,3.5,3.5,96,0.036,71,38.3,16.6,12.3,2.2,0.6,3.0,.493,,.642,4.8,.086
3,Billy Owens\owensbi01,22,GSW,2.0,2.0,96,0.021,80,31.4,14.3,8.0,2.4,1.1,0.8,.525,.111,.654,5.6,.107
